summonerName,overallScore,totalGamesPlayed
Hudsenne,32.24885718,11
Sophist Sage,64.56945893,517
Nemesis9,52.62344753,227
Yursan1,40.03964671,31
shxchi,59.81708134,527
Kennnyy,53.91007222,38
32142152,61.38229159,70
Swkeeee,47.64455742,321
Affe mit Waffe,63.59919919,379
Park Do Hyeon,60.19424526,5
JGWON55,49.43532369,49
Putilt,53.65407805,108
Starhills,49.16954727,22
C9 eXyu,47.92961674,352
EU Red,60.27328381,63
Not Cupic,49.15056251,32
crimsonteal,74.96282988,388
Rambe,68.5237225,12
Unawakened,41.39352331,599
Solarbacca,62.42597892,662
ÁCK,47.67851209,173
Fasca,62.96881267,534
always plan ahea,63.25165512,199
tsm s1nner,45.36166262,87
seIfish Ianer,105.3857311,8
ASTROBOY99,53.86077988,455
GG Yunbee,59.82830553,183
Cody Sun,73.95932255,223
Greatswordslam,41.11820597,161
shiny wyd,57.37607318,186
Detention,57.16517298,303
Cay,51.73318449,34
V5zhao107736014,53.45993476,81
Qualityy,43.63279663,45
Sokiu,52.64655995,123
2004 07 08,64.9786234,108
pyke429,52.29779788,15
DIG LourIo,57.33284873,100
donbray,54.48710585,364
yuuji4,48.78319338,302
Masterfiend,36.31367618,143
Iaceration,61.52169093,181
Tomo9,74.17757565,503
wechat reverse6,57.56535335,7
blueberry2,69.4908959,694
xÀSAPx,64.08484654,91
excelexcel123,49.26992697,40
Kothta,79.59243282,14
TSM Sword,50.5971836,360
Det Nytår Igen,39.8785062,35
keaidatou,60.20189109,17
Rumahoy,46.32062044,103
Jozyy,46.24726396,361
Father CJ,66.82912586,54
CruelDecisions,37.23688035,52
Chaeha,67.4339682,172
100 Tenacity,64.63960504,187
POLO G OMG,51.05063586,24
Tònberry,53.67090376,185
KGBˉ,54.98266417,88
Young Tactician,42.7547364,113
Sleevy Closet,58.24214052,16
Myth of Bulgaria,68.77057533,37
EGOSlinger,65.80798239,4
EG Jiizukex,65.04055066,122
laolunsi,46.33792522,2
NoKaynNoPain,42.57245009,53
